Name;NORAD_number;Revolution_number
COSMOS 1131;11539;8939.0
COSMOS 1132;11540;8655.0
COSMOS 1133;11541;1773.0
COSMOS 1134;11542;8059.0
COSMOS 1135;11543;7727.0
COSMOS 1136;11544;7428.0
COSMOS 1137;11545;7078.0
OPS 1948;11558;2219.0
EKRAN 4;11561;4335.0
COSMOS 1140;11573;38734.0
COSMOS 1141;11585;27055.0
METEOR 2-5;11605;33698.0
OPS 9443 (DSCS 2-13);11621;61157.0
OPS 9444 (DSCS 2-14);11622;10803.0
SATCOM 3;11635;21666.0
GORIZONT 3;11648;11846.0
COSMOS 1150;11667;27178.0
OPS 6393 (FLTSATCOM 3);11669;16584.0
COSMOS 1153;11680;26755.0
